simulation,seed,steps,config,avg_energy,stability,diversity,goal_completion,elapsed_sec
food-hunt,3030,1200,"{""mu_k"": 3.455098559105531, ""sigma_k"": 1.2032653262275133, ""w_k"": 0.02806822696709664, ""c_rep"": 0.8183625401623184, ""mu_g"": 0.5864636331668112, ""sigma_g"": 0.22169480175570722, ""dt"": 0.13709699657780888, ""food_params"": {""food_attraction_strength"": 0.07083709312754966, ""food_radius"": 1.945200576815861, ""food_spawn_min_dist"": 5.135131855612689}, ""point_n"": 150}",-0.32153293,0.10902304,291.0998974167848,0.013333333333333334,42.2623507976532
food-hunt,3031,1200,"{""mu_k"": 4.946304546647192, ""sigma_k"": 0.8940919946709318, ""w_k"": 0.027668862778488512, ""c_rep"": 1.24028768518557, ""mu_g"": 0.4417375436991789, ""sigma_g"": 0.19459783543543432, ""dt"": 0.13240500394500834, ""food_params"": {""food_attraction_strength"": 0.0665080690866897, ""food_radius"": 1.5003731613435707, ""food_spawn_min_dist"": 4.660452509622937}, ""point_n"": 200}",0.023088446,0.097217835,655.7233383583036,0.0,74.75607657432556
food-hunt,3032,1200,"{""mu_k"": 4.317287429917551, ""sigma_k"": 1.2358075509542794, ""w_k"": 0.02948409214820078, ""c_rep"": 0.808496864759996, ""mu_g"": 0.5126735314512276, ""sigma_g"": 0.10442085762966541, ""dt"": 0.06208926926570853, ""food_params"": {""food_attraction_strength"": 0.032887015297583574, ""food_radius"": 1.5172249835750469, ""food_spawn_min_dist"": 6.401432323728166}, ""point_n"": 100}",-0.29100105,0.11608047,217.9928888136211,0.0,18.79961085319519
food-hunt,3033,1200,"{""mu_k"": 4.922008487379186, ""sigma_k"": 1.3194057884424033, ""w_k"": 0.023253262561752787, ""c_rep"": 1.390870576803997, ""mu_g"": 0.4142550385576045, ""sigma_g"": 0.1330207884163258, ""dt"": 0.11619053969587534, ""food_params"": {""food_attraction_strength"": 0.074249043176711, ""food_radius"": 2.1755262949361365, ""food_spawn_min_dist"": 5.564084700785981}, ""point_n"": 64}",-0.1823824,0.14678884,132.43556248737156,0.0,8.085776329040527
food-hunt,3034,1200,"{""mu_k"": 4.361054886595701, ""sigma_k"": 0.8987423456180998, ""w_k"": 0.03477724872586639, ""c_rep"": 1.2549198348675343, ""mu_g"": 0.7144050111278143, ""sigma_g"": 0.20748380890971624, ""dt"": 0.12939448145458554, ""food_params"": {""food_attraction_strength"": 0.09666221712165839, ""food_radius"": 2.113275679293742, ""food_spawn_min_dist"": 5.191617673549767}, ""point_n"": 64}",-0.14318968,0.17159273,45.0864025673533,0.0,7.851412773132324
food-hunt,3035,1200,"{""mu_k"": 3.138665604693808, ""sigma_k"": 0.8066537042429536, ""w_k"": 0.015949898288072584, ""c_rep"": 0.8123127119933136, ""mu_g"": 0.4666659182254513, ""sigma_g"": 0.1874660904846142, ""dt"": 0.10279390049423281, ""food_params"": {""food_attraction_strength"": 0.05201125822683121, ""food_radius"": 1.8226497825021637, ""food_spawn_min_dist"": 6.44805902677823}, ""point_n"": 150}",-0.26725614,0.16125354,70.15560652293512,0.0,42.471407651901245
food-hunt,3036,1200,"{""mu_k"": 3.70277012091406, ""sigma_k"": 1.3375205658538334, ""w_k"": 0.015924239588370543, ""c_rep"": 1.3736901282489409, ""mu_g"": 0.7620610908581076, ""sigma_g"": 0.241959598163734, ""dt"": 0.06170351226085957, ""food_params"": {""food_attraction_strength"": 0.11304054145278189, ""food_radius"": 2.732397237912126, ""food_spawn_min_dist"": 4.718590254883327}, ""point_n"": 150}",0.21658711,0.15196535,73.83682691857301,0.0,42.37010097503662
food-hunt,3037,1200,"{""mu_k"": 3.338826384612623, ""sigma_k"": 1.173291198193466, ""w_k"": 0.03157341334505869, ""c_rep"": 1.0319635156977807, ""mu_g"": 0.6271844446956331, ""sigma_g"": 0.1527035049776997, ""dt"": 0.06992678848819099, ""food_params"": {""food_attraction_strength"": 0.08693930836193728, ""food_radius"": 2.9532419323799917, ""food_spawn_min_dist"": 7.775852563179153}, ""point_n"": 200}",0.1364334,0.12219075,331.8983579499685,0.0,74.46286416053772
food-hunt,3038,1200,"{""mu_k"": 3.433177376867837, ""sigma_k"": 0.8640313955259926, ""w_k"": 0.029560140623184995, ""c_rep"": 1.3672653828036236, ""mu_g"": 0.7189287718807829, ""sigma_g"": 0.1139690379582051, ""dt"": 0.13930592152287147, ""food_params"": {""food_attraction_strength"": 0.1099483629479204, ""food_radius"": 1.5130904728861354, ""food_spawn_min_dist"": 5.222279369788662}, ""point_n"": 100}",0.34416953,0.16242975,81.05070589378668,0.0,19.07012701034546
food-hunt,3039,1200,"{""mu_k"": 4.111148241163138, ""sigma_k"": 0.6046296980232354, ""w_k"": 0.010767463496337186, ""c_rep"": 1.173811232277242, ""mu_g"": 0.6069187904174914, ""sigma_g"": 0.19280056560822473, ""dt"": 0.1258615418657325, ""food_params"": {""food_attraction_strength"": 0.06732844125675996, ""food_radius"": 1.7142825575683651, ""food_spawn_min_dist"": 4.471421367081591}, ""point_n"": 150}",0.5655304,0.12787655,150.10488232684477,0.0,41.82860612869263
